HSHD_NUM,total_spend,total_visits,days_since_last_purchase,LOYALTY_FLAG,churned,churn_prob,churn_risk
1660,10.259999990463257,4,260,0,1,1.0,1
4570,6.980000019073486,2,556,0,1,1.0,1
4989,15.700000286102295,2,633,0,1,1.0,1
1,0.59,1,729,0,1,1.0,1
1461,3.5,1,410,0,1,1.0,1
29,19.949999809265137,6,301,0,1,1.0,1
69,2.9499999999999997,5,729,0,1,1.0,1
115,100.2600000500679,37,373,0,1,1.0,1
1234,26.4399995803833,7,501,0,1,1.0,1
733,19.08000010251999,5,591,0,1,1.0,1
881,28.81000018119812,6,589,0,1,1.0,1
2997,56.40999913215637,12,553,0,1,1.0,1
2306,33.9199994802475,11,644,0,1,1.0,1
2735,108.15999799966812,29,263,0,1,1.0,1
2838,23.34999978542328,5,285,0,1,1.0,1
2027,25.96999955177307,3,343,0,1,1.0,1
2921,16.96999955177307,3,476,0,1,1.0,1
2938,8.490000009536743,2,714,0,1,1.0,1
3670,8.989999771118164,1,401,0,1,1.0,1
3681,9.989999771118164,1,406,0,1,1.0,1
1937,1.0,1,407,0,1,1.0,1
2,1.77,3,729,0,1,1.0,1
3739,72.03999900817871,14,161,0,1,1.0,1
1565,36.69999957084656,10,427,0,1,1.0,1
3755,43.209999084472656,9,706,0,1,1.0,1
225,44.65999913215637,11,385,0,1,1.0,1
780,1.9900000095367432,1,521,0,1,1.0,1
4813,1.0,1,720,0,1,1.0,1
4351,16.979999542236328,1,328,0,1,1.0,1
4363,5.190000057220459,2,266,0,1,1.0,1
2429,111.42999969422817,27,438,0,1,1.0,1
1750,9.979999542236328,1,425,0,1,1.0,1
1914,12.360000133514404,6,431,0,1,0.99,1
918,38.119999408721924,12,156,0,1,0.99,1
1462,166.47999757528305,35,678,0,1,0.99,1
3608,120.44999808073044,33,709,0,1,0.99,1
4753,223.17999750375748,61,476,0,1,0.99,1
4061,22.71999979019165,8,368,0,1,0.99,1
2017,210.87999880313873,55,379,0,1,0.99,1
185,28.929999709129333,9,246,0,1,0.99,1
264,54.54999992251396,15,298,0,1,0.99,1
455,2.490000009536743,1,129,0,1,0.99,1
1963,27.430000066757202,8,553,0,1,0.99,1
2337,173.36999988555908,61,583,0,1,0.99,1
4587,871.2899906933308,211,388,0,1,0.99,1
139,668.8799966573715,170,652,0,1,0.99,1
4823,117.23999911546707,36,284,0,1,0.99,1
4909,54.34999966621399,13,236,0,1,0.99,1
92,29.070000171661377,8,507,0,1,0.99,1
2937,83.24999976158142,26,460,0,1,0.99,1
1301,30.889999449253082,8,425,0,1,0.98,1
1132,5.489999771118164,1,235,0,1,0.98,1
3689,165.92999851703644,45,182,0,1,0.98,1
2822,795.279996573925,155,163,0,1,0.97,1
2325,113.70999878644943,33,235,0,1,0.96,1
1358,411.7999975979328,160,122,0,1,0.96,1
186,188.1000002026558,61,146,0,1,0.96,1
4552,299.10999596118927,85,587,0,1,0.96,1
1747,55.81000018119812,20,230,0,1,0.94,1
1662,54.85999983549118,19,263,0,1,0.94,1
1112,1027.9399915337563,325,111,0,1,0.94,1
812,1631.1999882012606,404,561,0,1,0.94,1
81,39.81999945640564,9,103,0,1,0.92,1
1661,1617.199981957674,405,154,0,1,0.91,1
916,1273.1199898123741,413,138,0,1,0.9,1
3614,2060.269987910986,570,101,0,1,0.78,1
1573,105.30000042915344,40,98,0,1,0.78,1
4062,156.6599973887205,36,87,0,0,0.11,0
3606,10.580000013113022,6,77,0,0,0.11,0
4105,714.1699967682362,201,14,0,0,0.05,0
4272,6.989999771118164,1,47,0,0,0.05,0
2454,1271.8499876856804,344,27,0,0,0.04,0
915,53.59999978542328,17,72,0,0,0.02,0
1349,1757.4699850678444,517,0,0,0,0.02,0
4432,96.86999905109406,22,40,0,0,0.01,0
826,30.65999948978424,9,23,0,0,0.01,0
3257,100.82999801635742,18,37,0,0,0.01,0
2685,115.65999883413315,34,2,0,0,0.01,0
1469,193.6399962902069,16,36,0,0,0.01,0
631,6319.369965732098,2168,1,0,0,0.0,0
632,7466.419965803623,2065,0,0,0,0.0,0
642,2978.289981180802,826,0,0,0,0.0,0
651,8926.189948797226,2670,1,0,0,0.0,0
655,5981.929946482182,1699,9,0,0,0.0,0
682,3455.739966750145,1193,5,0,0,0.0,0
692,7021.679953217506,1893,4,0,0,0.0,0
720,12117.099829643965,2042,1,0,0,0.0,0
762,3260.2999802604318,1154,18,0,0,0.0,0
764,9441.969915434718,2289,2,0,0,0.0,0
766,10156.299914628267,2300,7,0,0,0.0,0
779,13086.789907515049,4488,0,0,0,0.0,0
789,17885.11986491084,3667,0,0,0,0.0,0
794,3017.5799703598022,677,4,0,0,0.0,0
801,7383.999953597784,1708,1,0,0,0.0,0
808,3741.7299878299236,1267,6,0,0,0.0,0
815,27660.04974079877,5652,2,0,0,0.0,0
839,7440.839910984039,1520,0,0,0,0.0,0
845,8731.349951446056,2823,3,0,0,0.0,0
982,6610.339956611395,1914,15,0,0,0.0,0
984,14119.889935418963,5561,3,0,0,0.0,0
986,6653.719951752573,2140,0,0,0,0.0,0
991,25006.309849515557,7263,0,0,0,0.0,0
992,10873.389958465472,3798,0,0,0,0.0,0
1012,4411.079985123128,1611,3,0,0,0.0,0
1015,10558.829922050238,3432,9,0,0,0.0,0
1020,12932.979917347431,3265,0,0,0,0.0,0
1034,16971.779957618564,6640,2,0,0,0.0,0
1080,9906.829941280186,2546,0,0,0,0.0,0
1082,25848.43978996575,6751,0,0,0,0.0,0
1102,26670.429730888456,5610,1,0,0,0.0,0
1120,15389.989886850119,3894,1,0,0,0.0,0
1121,2785.8999878540635,916,59,0,0,0.0,0
1122,3418.0699879154563,1182,5,0,0,0.0,0
1137,11619.939834475517,2502,0,0,0,0.0,0
1165,4112.959984114394,1500,6,0,0,0.0,0
1187,11751.749917387962,3750,6,0,0,0.0,0
1192,8157.689961954951,1275,3,0,0,0.0,0
1195,18158.139863444492,5081,3,0,0,0.0,0
1205,5753.249974608421,1384,3,0,0,0.0,0
1241,31716.869743380696,9457,1,0,0,0.0,0
1245,29224.169822948053,8056,1,0,0,0.0,0
1251,17466.3098301962,2852,2,0,0,0.0,0
1261,9365.769927797839,2397,14,0,0,0.0,0
1265,22285.369829311967,5320,5,0,0,0.0,0
1270,20964.739782825112,4367,1,0,0,0.0,0
1275,4373.3199811428785,1470,2,0,0,0.0,0
1277,6785.649947118014,1868,3,0,0,0.0,0
1290,9218.839958557859,2677,2,0,0,0.0,0
1308,4388.949959844351,1264,2,0,0,0.0,0
1373,4138.029980391264,1460,5,0,0,0.0,0
1399,4828.109948039055,1499,4,0,0,0.0,0
1404,14779.999879017472,4028,3,0,0,0.0,0
1433,21394.51986078918,4013,5,0,0,0.0,0
1437,13024.89988771081,3652,0,0,0,0.0,0
1441,14662.499891780317,3076,3,0,0,0.0,0
1446,14471.339859902859,3889,7,0,0,0.0,0
1448,10268.379932165146,2539,1,0,0,0.0,0
1470,2459.089991271496,1056,4,0,0,0.0,0
1473,5558.979944262654,1660,11,0,0,0.0,0
1492,15512.319921966642,3518,0,0,0,0.0,0
1495,5775.409939438105,1529,7,0,0,0.0,0
1526,6344.8199827075005,1610,2,0,0,0.0,0
1532,5423.169972784817,1713,1,0,0,0.0,0
1545,14293.749854125082,3055,3,0,0,0.0,0
1554,4242.569989085197,1981,12,0,0,0.0,0
1567,10904.349942838773,2977,8,0,0,0.0,0
1600,7692.599901676178,1818,4,0,0,0.0,0
1618,8100.919976979494,2532,2,0,0,0.0,0
1631,13089.879944408312,4316,0,0,0,0.0,0
1632,9853.199896007776,1783,0,0,0,0.0,0
1647,12830.129868298769,2771,1,0,0,0.0,0
1652,10651.06992982328,2538,0,0,0,0.0,0
1699,16348.97984546423,3261,1,0,0,0.0,0
1709,8162.299936063588,2240,1,0,0,0.0,0
1729,8511.439938692376,2547,5,0,0,0.0,0
1748,14183.66989703849,3486,3,0,0,0.0,0
1770,9311.58992356062,2377,8,0,0,0.0,0
1786,6958.459943816066,2028,8,0,0,0.0,0
1795,12684.519964924082,4489,9,0,0,0.0,0
1797,11298.979955784976,3477,3,0,0,0.0,0
1809,6143.789957821369,1611,0,0,0,0.0,0
1836,9578.639929449186,2766,5,0,0,0.0,0
1861,9409.969949483871,3531,0,0,0,0.0,0
1873,9008.05990634486,2447,20,0,0,0.0,0
1885,23191.099794169888,6014,6,0,0,0.0,0
1895,13878.239926451817,5263,0,0,0,0.0,0
1904,6532.469948709011,1814,23,0,0,0.0,0
1916,13438.339869007468,4028,2,0,0,0.0,0
1924,14222.649828001857,3655,5,0,0,0.0,0
1949,5198.239985127002,1817,1,0,0,0.0,0
1990,22569.50982388109,4809,0,0,0,0.0,0
1994,7854.469928011298,2232,2,0,0,0.0,0
2004,17235.059800572693,3272,1,0,0,0.0,0
2011,21089.099868830293,4078,1,0,0,0.0,0
2019,4177.049979258329,1273,1,0,0,0.0,0
2022,18926.369817664847,4501,1,0,0,0.0,0
2024,11471.819897193462,3250,0,0,0,0.0,0
2066,6553.299975737929,2396,0,0,0,0.0,0
2077,14684.789865113795,4310,10,0,0,0.0,0
2102,8877.27992966026,2333,2,0,0,0.0,0
2143,12344.029891081154,3086,0,0,0,0.0,0
2148,5464.349962333217,1465,2,0,0,0.0,0
2150,11353.719905391335,3046,2,0,0,0.0,0
2175,19724.499840810895,4510,1,0,0,0.0,0
2178,5896.639953015372,1514,0,0,0,0.0,0
2189,7525.919954493642,2034,0,0,0,0.0,0
2200,10204.189951777458,3184,0,0,0,0.0,0
2211,6189.689955208451,1860,0,0,0,0.0,0
2225,4208.909950897098,1096,2,0,0,0.0,0
2232,4922.629976443946,1944,1,0,0,0.0,0
2244,9440.269893050194,2004,3,0,0,0.0,0
2260,6846.549958666787,1917,22,0,0,0.0,0
2264,7365.9899186342955,1802,2,0,0,0.0,0
2291,17003.029834359884,3449,4,0,0,0.0,0
2319,4961.6399742513895,875,15,0,0,0.0,0
2320,10577.529906479642,2562,2,0,0,0.0,0
2322,11590.969928726554,2795,1,0,0,0.0,0
2345,6448.879943564534,1477,9,0,0,0.0,0
2371,16856.689867943525,3400,2,0,0,0.0,0
2375,14710.97986638546,1866,2,0,0,0.0,0
2379,3156.819991413504,1462,1,0,0,0.0,0
2391,9062.179926026613,2495,0,0,0,0.0,0
2406,6137.2799625992775,1738,0,0,0,0.0,0
2420,13024.989864215255,2673,0,0,0,0.0,0
10,9454.909925699234,1655,0,0,0,0.0,0
2433,19749.639833062887,4462,3,0,0,0.0,0
2435,11759.979911964387,3487,2,0,0,0.0,0
2436,13448.65986482799,2897,1,0,0,0.0,0
2442,17745.73990846984,5730,4,0,0,0.0,0
